District Name,School Name,Enrollment,Average Score Math
Hurley,Hurley Hi,60,18.9697
Adams-Friendship Area,Adams-Friendship Hi,152,18.9107
Kenosha,Harborside Acad,99,18.8551
Milwaukee,Reagan Hi,163,18.8049
Bayfield,Bayfield Hi,42,18.75
Butternut,Butternut Hi,14,18.6667
Kenosha,Kenosha eSchool,32,18.5
Granton Area,Granton Hi,10,18.4286
Goodman-Armstrong Creek,Goodman Hi,17,18.4
Cornell,Cornell Hi,38,18.3333
Tigerton,Tigerton Hi,24,18.1538
Non-district Charter Schools: Tenor High Scho,Tenor High School,30,17.9286
Wisconsin Rapids,River Cities Hi,63,17.625
Menominee Indian,Menominee Indian Hi,83,17.5882
Milwaukee,Carmen Hi,37,17.3636
Milwaukee,Milw Sch of Languages,114,17.1584
Monroe,Monroe Indep Virtual Chrtr Hi,91,16.8333
Milwaukee,Riverside Hi,373,16.7057
Milwaukee,Hamilton Hi,379,16.6287
Kenosha,Reuther Central Hi,130,16.5789
River Falls,Renaissance Charter Acad,22,16.3333
Milwaukee,Milw Hi Sch of the Arts,168,16.2298
Milwaukee,Alliance Hi,22,16.1
Milwaukee,WI Consrv Lifelong Learning,55,16
Milwaukee,ALAS-AdvLang&Acad Studies,51,15.814
Non-district Charter Schools: Milwaukee Acad,Milwaukee Acad of Science,33,15.7273
Milwaukee,Professional Learning Inst,23,15.6667
Milwaukee,Montessori Hi,55,15.6471
Milwaukee,Bay View Hi,226,15.5824
Milwaukee,Community High Sch,31,15.5714
Milwaukee,Bradley Tech Hi,220,15.5411
Milwaukee,SUPAR,7,15.3529
Milwaukee,WORK Inst,59,15.3437
Milwaukee,Grandview Hi,40,15.3077
Milwaukee,Pulaski Hi,286,15.25
Milwaukee,South Division Hi,313,15.2162
Milwaukee,Kilmer Hi,103,15.1471
Milwaukee,Loyola Academy,16,15.0588
Milwaukee,New Sch for Comm Serv,71,15.0526
Milwaukee,Vincent Hi,227,14.9126
Milwaukee,WHS Info Technology,48,14.9091
Milwaukee,Madison Academic Campus,162,14.8589
Milwaukee,Custer Hi,132,14.8144
Milwaukee,Lad Lake Synergy,22,14.7143
Milwaukee,Genesis Hi,32,14.7083
Milwaukee,WI Career Academy,54,14.6667
Milwaukee,Northwest Secondary Sch,62,14.5323
Milwaukee,El Puente Hi,18,14.5238
Milwaukee,Lady Pitts,15,14.5
Milwaukee,NOVA,17,14.4444
Milwaukee,Milw AfricanAmer ImmersionHi,47,14.4186
Milwaukee,Project Stay,75,14.4118
Milwaukee,Transition Hi,27,14.35
Milwaukee,Cornerstone Acad,17,14.3333
Milwaukee,Spotted Eagle Hi,14,14.2857
Milwaukee,WHS,90,14.1167
Milwaukee,Milw Sch of Entrepreneurship,92,14.0727
Milwaukee,Phillips Sch,21,13.5484
Milwaukee,Lad Lake Ultra,0,13.2857
