"I_D"	"FLAG_TSUNAMI"	"YEAR"	"MONTH"	"DAY"	"HOUR"	"MINUTE"	"SECOND"	"FOCAL_DEPTH"	"EQ_MAG_MW"	"EQ_MAG_MS"	"Max.Richter"	"EQ_MAG_MB"	"EQ_MAG_ML"	"EQ_MAG_MFA"	"EQ_MAG_UNK"	"INTENSITY"	"COUNTRY"	"STATE"	"LOCATION_NAME"	"LATITUDE"	"LONGITUDE"	"REGION_CODE"	"DEATHS"	"DEATHS_DESCRIPTION"	"MISSING"	"MISSING_DESCRIPTION"	"INJURIES"	"INJURIES_DESCRIPTION"	"DAMAGE_MILLIONS_DOLLARS"	"DAMAGE_DESCRIPTION"	"HOUSES_DESTROYED"	"HOUSES_DESTROYED_DESCRIPTION"	"HOUSES_DAMAGED"	"HOUSES_DAMAGED_DESCRIPTION"	"TOTAL_DEATHS"	"TOTAL_DEATHS_DESCRIPTION"	"TOTAL_MISSING"	"TOTAL_MISSING_DESCRIPTION"	"TOTAL_INJURIES"	"TOTAL_INJURIES_DESCRIPTION"	"TOTAL_DAMAGE_MILLIONS_DOLLARS"	"TOTAL_DAMAGE_DESCRIPTION"	"TOTAL_HOUSES_DESTROYED"	"TOTAL_HOUSES_DESTROYED_DESCRIPTION"	"TOTAL_HOUSES_DAMAGED"	"TOTAL_HOUSES_DAMAGED_DESCRIPTION"
5935	"Tsu"	1799	6	29	NA	NA	NA	NA	NA	6.4	6.4	NA	NA	NA	NA	NA	"JAPAN"	""	"JAPAN:  SW. HONSHU ISLAND"	36.6	136.6	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	2	NA	NA	NA	2
9796	"Tsu"	1799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PERU"	""	"PERU:  LIMA, CALLAO"	-12	-77	160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6039	"Tsu"	1802	3	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ANTIGUA AND BARBUDA"	""	"ANTIGUA ISLAND &  ST. CHRISTOPHER"	17.2	-62.4	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6519	"Tsu"	1802	8	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"VENEZUELA"	""	"VENEZUELA: CUMANA"	10.3	-64.5	160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6040	"Tsu"	1802	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"INDONESIA"	""	"INDONESIA:  BANDA SEA"	-3.7	128.2	170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
8151	"Tsu"	1802	11	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ALGERIA"	""	"ALGERIA:  KOLEA, BLIDA, ALGIERS"	36.5	2.9	15	NA	3	NA	NA	NA	NA	NA	3	1100	4	1100	4	NA	3	NA	NA	NA	NA	NA	3	1100	4	NA	NA
1560	"Tsu"	1802	12	9	5	NA	NA	NA	NA	6.6	6.6	NA	NA	NA	NA	NA	"JAPAN"	""	"JAPAN:  NW HONSHU:  SADO ISLAND, OGI"	37.7	138.3	30	19	1	NA	NA	NA	NA	NA	3	1060	4	NA	NA	19	1	NA	NA	NA	NA	NA	3	1060	4	NA	NA
1564	"Tsu"	1804	1	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	"GREECE"	""	"GREECE:  ACHAIA:  PATRAI (PATRAS)"	38.3	21.8	130	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1565	"Tsu"	1804	6	8	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	"GREECE"	""	"GREECE:  PATRAI"	38.2	21.8	130	NA	2	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1566	"Tsu"	1804	7	10	13	NA	NA	NA	NA	7.3	7.3	NA	NA	NA	NA	NA	"JAPAN"	""	"JAPAN:  KISAKATA"	39.05	139.95	30	450	3	NA	NA	NA	NA	NA	4	10810	4	NA	NA	450	3	NA	NA	NA	NA	NA	4	10810	4	300	3
